cups,productivity
9,0.4243156703924034
8,0.589516058691207
9,0.3976154915592352
10,0.25612534784434804
10,0.2551499691190779
10,0.2544811374916391
5,1.9606664492718828
2,2.6495260408721273
2,1.7358154455318033
9,0.38159701625932085
4,1.4962433969766564
2,2.761635684137699
1,5.0
7,1.0154395686122686
5,1.6953449967664196
11,0.15880507132783364
2,2.2079383673934396
1,1.8494438258455546
7,0.9688597718869353
3,2.37069690108341
12,0.09839495778556077
2,0.6253093378580398
1,1.117601389817493
1,0.274029309512801
11,0.16248227375788973
0,0.09090909090909091
7,0.8723310144846369
8,0.6500838715972812
6,1.2893456799807168
9,0.41277018784708097
12,0.09832353384648478
10,0.25039020382702754
2,2.108777104925814
12,0.0970887442200735
2,1.4294950727908968
12,0.09819173100707018
9,0.40899410914994916
3,1.6143279875636596
11,0.15945591178409524
6,1.520198027764937
5,1.9355871019392192
1,2.021127230571263
8,0.640381127245083
11,0.16465477892657993
12,0.09872963451272254
11,0.15987211674973087
12,0.1002360748287057
9,0.4358164821774892
8,0.6107513082132634
11,0.16086228838178415
11,0.16423507211710472
9,0.41845174483000785
11,0.15239585215116394
8,0.6441612852681292
4,1.5692492971570744
12,0.0966132368359234
10,0.26589952737616296
7,0.8062930713108734
6,1.3366744687040273
2,1.5632733446450995
8,0.6615765967723954
5,1.37720124745427
6,1.2620181260655685
0,0.0
5,1.570009960017413
6,1.318725999988861
0,1.1428571428571428
1,1.3450500551604032
3,1.3443815506484893
11,0.15966374303082048
1,0.0
10,0.2579356110795984
7,0.9182923141720066
4,2.7098545976892603
3,2.1653645317858032
3,3.112711514442092
5,2.0690916141406386
4,2.1142830754230886
4,2.414915054225256
8,0.589516058691207
11,0.1554496960953931
0,0.0
6,1.2229452385163726
10,0.2595203679370181
1,0.5021872749579849
8,0.6582511455408541
2,0.7960273328302898
9,0.39567319781791194
8,0.6334244011650595
2,1.1371819040432711
10,0.2694554477732479
10,0.2516612200901089
3,2.2648555184202337
4,2.1654854909450068
6,1.2847634855879484
9,0.42073790720011234
10,0.253540742437403
5,1.5414643243807329
1,3.0531926811076455
1,2.3747054186392798
1,0.4021016226903381
0,1.2
5,1.5513405005341179
12,0.09799468797549725
8,0.6505529144521573
7,0.9705082363159072
11,0.1621471566588296
5,1.4709300553373508
3,1.3646061113169403
5,1.7127381382008144
9,0.3951009534382891
2,4.2954282514532345
5,1.6316133466668075
5,1.6455282453764761
0,0.3333333333333333
9,0.39037041676101114
5,1.798104504489951
2,0.5887835646382505
1,0.8084508922285052
10,0.2579356110795984
4,2.3895012313875936
10,0.2655632742851111
0,0.3333333333333333
10,0.2428007079178159
1,8.0
10,0.2513417606247633
11,0.1604199756708341
2,1.8986245328446683
10,0.25039020382702754
7,0.8999258191292957
7,0.9697064133518272
6,1.2969692721871415
9,0.4039389675526665
2,1.574997504636397
11,0.16585319573838386
3,1.5336115881854766
6,1.2500375410392757
3,1.2509507139483391
4,2.3388900886319064
12,0.0963100826414373
4,2.257210187340314
0,0.0
2,2.2743638080865423
5,1.7401602456700678
10,0.2563548371641996
8,0.6161242663645874
3,2.9800730505529387
8,0.6818375557382469
4,1.7628791371806234
5,1.7861670501646205
3,1.2513167583470932
0,2.0
9,0.4045099969026712
4,1.9080115558696162
4,1.916611855508155
5,1.3599164662552865
3,1.4190694145734053
7,0.840972343195212
12,0.09943226563228218
3,1.4951932900831162
11,0.15219761040302088
3,1.3423591857395283
11,0.15856703824565144
12,0.09899468424816726
4,2.688188885311043
0,1.6666666666666667
9,0.41867763175477896
5,1.880603709001687
3,0.7147936773564926
3,2.4360350982590284
12,0.09699132939554335
11,0.1579144989936117
7,0.8220902622111297
10,0.2491191875639462
11,0.16378735226196917
7,0.8681251282415716
0,1.75
10,0.2538609618241531
3,2.54630407894144
10,0.2621009626993606
7,0.9702457201920961
9,0.4249198933204241
12,0.09809311053959151
11,0.1568525499590488
9,0.42034593662791164
8,0.6500838715972812
8,0.6743407324777768
8,0.6517732491672447
11,0.1704239531012527
1,1.509864313276339
12,0.09822464857796244
8,0.6135903316813041
7,1.0626025683189582
10,0.2579757521626794
0,0.0
6,1.3433299461917316
12,0.09822464857796244
11,0.15955975973091951
2,0.5685909520216356
9,0.4074331580174879
4,2.013187464384605
9,0.42742475072922587
9,0.4149802466930458
7,1.0247555279573353
6,1.3758816331446102
11,0.1599765077004096
6,1.3781369170957478
9,0.3991013751268861
10,0.2488149890123114
6,1.30212515431211
1,2.521968853425756
0,0.0
2,1.1117629444492214
8,0.5938378492412674
12,0.0991971070924668
6,1.217569033479814
5,1.9620696340988815
9,0.4193091431308177
9,0.436574813730322
10,0.258344661671981
3,3.3376818166192916
0,1.2222222222222223
10,0.25509819580555154
9,0.408776559978447
5,1.5500338049795026
4,2.0699271893359334
0,5.0
6,1.3781369170957478
6,1.428619833321266
1,6.0
4,2.1142830754230886
9,0.40204347253131345
4,1.9125225809101845
12,0.10057131253716291
8,0.6052722055577234
1,3.0
11,0.1641186100089458
6,1.2620181260655685
0,1.5
8,0.6539943776105578
11,0.1656368854487474
0,0.0
4,2.6135169718301805
11,0.1620592736091417
6,1.191984599566591
0,1.0
8,0.6153782120633638
2,2.144242609186345
2,0.5105339545681775
6,1.303670160834792
12,0.10291797649636338
4,2.01242921185438
3,2.347764641244985
11,0.1606530332031887
0,0.3333333333333333
10,0.2602275804448307
6,1.1478321297389307
2,1.611034003133629
4,1.7398948448029663
9,0.3976154915592352
10,0.26296850105188324
4,1.563064092026543
12,0.09699132939554335
0,5.5
1,0.8220879285384031
10,0.25038823004024763
4,1.8231185942638548
2,1.8379222364454388
10,0.2712002966370231
2,2.5023301497125647
12,0.09916387476305946
10,0.26389468531608784
3,2.7067056647322536
7,0.9222799751616018
8,0.6475004989687274
4,1.4534935856344664
12,0.09795508734753346
0,5.0
12,0.09571754396826661
3,1.1920292202211755
10,0.2665745946020217
1,0.4184893957983207
11,0.16542113865981042
5,1.4843730531073724
1,0.09134310317093368
6,1.1950033131528595
2,0.6415464538091222
8,0.6079384355253072
9,0.4123419912466143
5,1.8164410679640208
6,1.6605050723758903
8,0.6694893603016777
10,0.2686775031799345
0,0.5555555555555556
3,1.3899452377203767
7,1.006123609267202
11,0.15760596675462255
1,0.6705608338904958
1,0.6784872624683657
0,0.5
2,4.653380605741004
1,1.3068302737435988
8,0.6216310915488699
9,0.3991013751268861
11,0.1566486434099494
9,0.4238666222099473
7,1.0522169549629772
8,0.6128397020201483
4,3.4349080201196656
7,0.9779705053555015
8,0.6879649173396439
2,1.8529382407487025
10,0.2526111634562015
4,2.431920792798054
1,6.0
12,0.0966132368359234
11,0.1619538674801376
0,0.2727272727272727
12,0.09846086290426141
11,0.16292218676614334
5,1.4986834526078667
6,1.1610239606168093
0,0.2222222222222222
5,1.5129186887440527
3,1.6474408188621483
2,0.7034730050902948
11,0.16062947303796232
12,0.09939898796704609
12,0.10177578704449085
2,0.593538843259758
9,0.41395161350328186
2,1.187077686519516
1,0.0
9,0.3995821019387201
9,0.39909037412882437
2,0.7631213699054032
4,2.0111473156463524
6,1.3806446669192796
2,2.0860852732604496
3,2.3006998150224156
8,0.6355720007764576
10,0.2598976656122184
7,0.94928289624341
6,1.0836223632423554
5,1.609697041689931
6,1.3993020272830536
10,0.255419166093456
10,0.27177605850338177
7,0.8962648814210756
8,0.5931052710873792
9,0.4137808173482903
7,0.8745641087352444
2,1.15478361685642
9,0.403987188535313
11,0.1644398915140089
1,1.295386372998496
9,0.41725082447574063
7,0.9445292374340639
5,1.446698217980869
9,0.4260228533645119
12,0.09672157414975191
10,0.25293223635319023
11,0.15760596675462255
0,0.5
10,0.25891292126343973
11,0.16302843055979077
6,1.201334779700083
10,0.2488149890123114
10,0.24880295496188692
10,0.265227870562548
7,1.0252255279428828
5,1.798104504489951
5,1.6546147806899778
7,0.9315959345066686
9,0.4190739117893894
4,2.779338048912062
7,0.8745641087352444
8,0.6398064735352043
9,0.40006906065569464
9,0.38067177286632764
6,1.4469354722100003
0,0.0
5,1.4154232607963186
11,0.16628899917098658
10,0.2656423989840038
3,1.7374315471504709
5,1.5392249236253606
6,1.2140933871010533
2,1.2718689498423388
5,1.6374504389604472
0,0.8333333333333334
12,0.09959898874854399
5,1.3599164662552865
8,0.6503217573126638
11,0.15836036553669133
3,2.0912601898976497
12,0.09645145753886833
9,0.42177566750217543
3,1.7560717785803035
11,0.16345479501898144
0,0.0
12,0.10006834142136962
6,1.2662717948190065
7,0.8839348798405493
8,0.6161242663645874
4,1.7527422650297977
7,0.9095466730846542
9,0.40445505440138746
7,0.906267676029745
5,1.4724587801679763
6,1.303670160834792
1,0.6031524340355072
10,0.25420325261627164
0,0.0
9,0.3976154915592352
4,1.7533079162045124
0,2.5
9,0.4094430456453867
9,0.422159657704867
8,0.5931052710873792
0,0.0
6,1.3542101604845944
6,1.2897948070255076
3,1.6102081585510482
11,0.16345479501898144
11,0.1587742511077735
8,0.6359764244307669
9,0.3951009534382891
9,0.40504060006566744
4,1.9595794357579843
5,1.5844790006457137
11,0.16434175464645737
10,0.2654849460380257
2,0.7034730050902948
8,0.6309664065679326
8,0.6107513082132634
8,0.6678271950038993
8,0.6631570747591169
2,0.9424614322497136
0,0.0
3,1.6950443869418426
11,0.15901205428375592
6,1.1765042800917003
8,0.6263608123594075
4,1.4023989186645036
11,0.16031543177788507
7,1.0527034059925353
12,0.09769290878825707
4,1.9664913217407485
7,0.8972049992694475
1,0.5757272768882205
2,1.3287823429483345
11,0.16313481300992946
9,0.41395161350328186
9,0.3995821019387201
11,0.15740094751081646
6,1.4179593876468277
9,0.39037041676101114
3,0.9762612259923842
8,0.6549352437733803
4,2.016141663983282
3,2.6626744729800187
4,2.2292402699038005
11,0.15924862089393196
12,0.0993302594490085
5,1.5790342969969133
7,0.9623497947903972
1,1.8190145075141366
10,0.2570007527143286
11,0.1667236673106751
12,0.09698123304311979
8,0.6120675362942718
11,0.1569547024291902
1,0.16739575831932826
2,0.8479126332282259
9,0.41133241014504596
10,0.255419166093456
11,0.157261959741572
8,0.6311946468034678
6,1.348965747156867
2,2.0529486521891913
4,2.196204506601387
5,1.8512192760485355
10,0.24943908044335286
7,0.978175731232002
5,1.5790342969969133
6,1.2376615450963215
1,0.2878636384441102
3,1.5289397614924145
12,0.10133921657534357
5,1.6347969611676187
0,17.0
5,1.340989246224407
12,0.09809311053959151
7,0.9872542120931465
5,1.5129186887440527
4,2.2089517503745784
6,1.2014526969552675
11,0.15856703824565144
3,1.3845907259496097
1,6.6744225474236965
6,1.4029243770431417
11,0.15942764308764087
6,1.3365168633946454
12,0.09691618770481217
12,0.10010184317862751
4,1.4023989186645036
5,1.4985190466626215
8,0.6566011991610761
10,0.2656423989840038
0,9.0
2,0.9189611182227194
3,1.80692880903649
4,2.314829317906731
10,0.2589581776133925
7,0.9270379552593591
1,0.2021127230571263
12,0.09889512399487686
11,0.16031543177788507
2,3.221571188589926
2,0.45487276161730844
11,0.15921957749769114
9,0.4174651583498904
4,1.3529072448130366
1,0.0
5,1.8769891035628217
2,2.2438289933618805
7,0.9315959345066686
7,0.9095466730846542
3,1.9251027051493743
6,1.2799038870267843
